index	sentence1	sentence2	label
160	明天这个房子能看吗	这个业主诚心卖 买的已经定了	0
772	您好，请问这个房子周边有哪些学校？	很近的	0
1665	能看吗	我问下业主	1
5757	然后周边配套还可以，不要太旧	好的	1
4122	价格能便宜不	看上了我去谈嘛	1
3099	这个可以看房不	这套房子附近的小学是清华双语小学，附近的中学是基石中学	0
4630	这个房子是对口二小吗	是的，对口南湖二小	1
3622	下午可以看吗	我约3点到3点半可以不	1
5853	几期的？	是西延澜山小区	0
2453	这房子多钱能拿下来	下不来? 	0
2563	这种情况怎么付款	感谢您的咨询，我是链家NAME，感谢信任并选择链家。关于房产有任何疑问可随时联系我，PHONE 随时竭诚为您服务！祝您和家人身体健康，生活愉快！	0
1884	能看房吗	我可以先带您看看VR视频	0
432	那么我想一下。再降点价能够卖出去吗	最近市场不景气，您降的不多估计短时间内卖不出去，	0
1125	您好，我想咨询金河谷四期小区	我给你们预估一下	0
4900	这套房源价格还有优惠空间吗？	姐	0
5277	这个房子有税吗	恩 有增值税的	1
762	其他费用还有哪些？还有议价空间吗？	您好	0
569	现在最低能多少钱？	价格到时可以跟房主去谈	1
4485	我的意思全付的要付多少	要2房带个小房间，3个房间的那种，对吧	0
5876	可以看房不	稍等亲	0
1168	请问首付和贷款是多少？	10万首付	1
5315	您好，我想了解金荣园即将上架的2室房源报价。	看上房子价格还可以商量	0
2237	这个房子可以贷款吗	哪个房子呢	0
2218	这个小区配套怎么样	你直接点进来就好了	0
2491	阴面？	窗户外面是墙	0
2006	9万多的税是什么？	满两年要到明年	0
204	家私家电，业主是搬走还是留下？	小面积的单价会高点	0
5798	底层是不是光线太差了	房子一点不影响	1
3386	家具家电有吗	没咋装	0
2601	这个房子在哪里嘛	老师我这边找到合适的就发给您	0
854	周末吧，这个房子的楼栋位置怎么样，前后有遮挡吗	您只有周末有时间看房吗？	0
4424	现在能看房吗，疫情稳定吗	大连疫情稳定了	0
2542	有房证没	嗯嗯，方便加您个微信么，方便沟通点	0
4066	您好，我想了解中弘卓越城即将上架的3室房源报价。	有的	0
4787	这个房子是怎么情况啊	这两套都是白纸坊小学的	0
4892	您好 请问花语拾光怎样	可以带您去售楼处看看呀	0
285	带家具家电车位吗	明年才满二	0
2783	这样，这个周末我有时间，可以先去看看房吗	到时候提前通知你	0
418	有些还可以签个合同，等证满在过户给是	你考虑满两年的房子吗	1
2365	你们有信心可以把价钱谈到130以下	现在客户都比较挑	0
2089	都是毛胚吗	是毛坯的，您想找带装修的吗	1
3865	我不想装修呢	方便留个电话	0
5628	那个150万没有可能吗	还没呢	0
3445	可以贷款吗、	顶名还贷也不踏实	0
405	这套房源价格还有优惠空间吗？	有空间的	1
2046	介绍一下这个房子	或者考虑御府三号一室的	0
3598	你好，我想看一下这套房子，	我加您微信了	0
4215	能优惠到多少？	这套房子在1楼，是低层楼	0
1357	小学是哪个	成都市东光实验小学。	1
4655	配套教育呢	上学的学校明天我要落实一下具体划到哪一个学校，每年的政策是不一样的?	1
5909	房东这些家具家电用的什么牌子	餐厅那一块	0
3760	您好，请问这个房子周边有哪些学校？	这套放看房方便	0
5523	这是几期	这个户型是边户.带个入户走廊	0
5363	几年内房本	先看房吧	0
5541	你去谈个低价吧	谈价格 都是客户和房东面对面的聊，我们在中间调节，促使成交。	1
2056	这个可以公积金贷款吗	那我刚刚给您发的那套一室户的	0
2058	有增值税吗	您点下同意就行	0
2313	您好，请问对这套房感兴趣？	公寓在东北大马路上	0
348	送点家具才行	之前有没有看过升龙的房子	0
4927	挡光吗	哦	0
5632	有房子看吗	刚刚那套房子业主自住的	0
3354	他这个515的有议价空间吗	有	1
5567	这套房源价格还有优惠空间吗？	还是本地	0
3625	好的，是南北通透吗	下午五点到六点有别的客户约的看房。您这边下午有时间吗？我可以带您去家里实地看看。	0
572	这个大体价格能有多少啊	您觉得多少合适	0
5900	户型	您留个联系方式吧，我这边上架新房源通知您	0
2187	什么时候能够看房呢？	您好	0
4379	户型我看不怎么样	九龙仓现在9月底交房  有一套在售看不到房子   开发商交房可以安排看房   也是大户型的4500万	0
3682	房子里目前就是你现在拍的这些吗？家具家电都有	前面有租客，不太配合看房	0
5373	家具家电是送的吗？	送	1
4469	想看这两间	明天几点?	1
4525	什么时候能看房	小区车位比较充足，车位比为1：0.85	0
1267	我现在觉得这里配套一般般	德信东望和新中宇维萨	0
1093	有房子看嘛	你好	0
3288	还是可以看看	您直接点进去就可以了	1
2464	你好，有房产证吗	你月工资多少	0
4941	您好，我想了解第五大道即将上架的2室房源报价。	目前只有这两天两房在售?	0
4565	房子价格可以谈么	没有，您看到的价格都是业主的报价，	0
2951	东区的？	对	1
80	这是在什么地方	有什么可以帮您	0
5890	鹭江花园周围呢	中间楼层	0
105	那能看吗？	要不我们用VR看一下房子	1
94	这房子能贷多少年	稍等	0
5701	谢谢   中学呢	中学是深圳龙岗区横岗保安学校初中部，吉溪初级中学。	1
5073	首付大约多少	20万左右	1
875	个税不是2吗	对  2%  打错了	1
3385	都是总校吗？	是总校	1
3731	可以看吗	这个房子随时可以看	1
2725	不知道什么户型	南二外本部吗？	0
1626	什么时候能看房	这个需要提前约，不过一般都方便	1
3781	您好，我正在看七0七所社区的房子	您想考虑个多大多少钱的	0
5439	有税吗？	满五年唯一商品房	0
2798	这是哪里的房子	这套房子是不满两年，贷款税费太高，全款合适	0
4668	是和达玺悦的吗	这套昨天刚上的	0
5515	这个是随时可看吗	您是什么时间有空看房？	0
4378	这个看过，最低多少	您跟谁看的呀	0
1162	我对这套房挺感兴趣	我先问问业主	0
2833	这几套今天都方便看一下么	能看，五一都方便	1
3896	单间配套吗	老师你方便留个联系方式吗	0
1670	没窗户，怎么采光？	哦哦	0
1728	这套房怎么样	这套就很笋你很有眼光	0
2814	现在看，也只能是看看😂😂我做不了决定了	那要不往养鱼池路那边找找？	0
1911	这个房子过两年了吗	还没有了，您是贷款还是全款呀	1
2208	帅哥  明天能看房吗	您好，您是想看一下几房？	0
1202	全款的话没有个税了是吗？	全款没有个税的	1
3355	你想带我看看么？	您明天休息吗，姐	0
4415	你好 他这个满几年了	可以来看看	0
5552	40年产权的是税费高吗	你名下在昆明是第几套房子？	0
1208	学区	有不带电梯的 可以吗？	0
3917	您好，请问这个房子的首付、税费和贷款是怎样的？	有	0
2689	有没有税，是个人还是顶账的	这个是个人的啊，没有大税。	1
2609	这套房子下午可以看吗	您几点看呢	0
335	您好，请问这个房子周边有哪些学校	百外世纪是才开学的，贤义已经有好几年了	1
5601	东边还是西边呀	西边套	1
2916	刚刚看了下装修，还是深色地板和家具	你要是买的话，他这么便宜，你再花个20来万，重新装修一下非常好做	0
5165	以前你们怎么交易这个小区的房子	嗯嗯	0
4167	什么时候能够看房呢？	您稍等一下哈	0
3365	晚上看房方便吗？	方便	1
68	在小区的什么位置？	7楼	1
5259	先帮我问问底价吧	暂时还没有太多人谈	0
3228	房子满几了	你这边是首套吗	0
5582	低楼层是不是采光有问题啊？	不考虑的	0
135	这个小区给按揭吗	那买第二套要首付5成	0
1130	带家具吗	这套很特殊层高3.4米以上	0
1972	能看房吗？	您留个电话，我约好了和您联系。	0
5442	您好，请问这个房子周边有哪些学校？	PHONE	0
4742	哦。一期的呢？	比如学校、总价、几房、我给您多推几套	0
193	您好，我想了解融创文旅城御林即将上架的4室房源报价。	30楼的的	0
2699	这房多少钱能谈？	价格能谈，具体多少就得见面了	1
1494	价格还能再低些吗	百闻不如一见	0
3777	有双税吗	房本够两年了	0
2532	什么时候能够看房呢？	您什么时间方便呢？我帮您提前约一下业主	1
2046	介绍一下这个房子	投资回报比最高的是居易国际三十平到四十平之间的小户型，居住性价比最高的是21世纪湖适生活一室一厅或者两室一厅，得房率最高的要数21世纪社区楼中楼的房子	0
2883	可以看看吗	嗯嗯，差不多，这个是中间单元的户型	0
4680	有大税吗？	满五不唯一	0
3816	小学呢	小学一年，初中三年	0
4636	配套	老师主要需求是清水两室哈，老师方便说一下价格区间是多少呢	0
3664	他这家具什么的怎么算	您可以用自己的呀	0
3770	什么地方	这个小区一共有6栋，2017年建成的	0
218	您好，我想咨询金桥商务公寓小区	是真实的	0
483	您好，请问这个户型有啥优缺点	此房满五唯一  家私家电齐全	1
4412	这个小区的周边配套是什么一个情况呀？	大面积一点的南向	0
364	请问增值税是卖方承担吗？	需要问一下房东	0
2835	有税么	方便加您微信吗	0
5977	小学学位是龙口西学位吗	自己住的	0
3816	小学呢	不能上学	1
4322	周六能看不	您看方便的话可以留个电话，我这边到时间好提前给您约具体时间	0
1170	这套房源价格还有优惠空间么？	您需要实地看房吗？我跟业主很熟可以安排	0
